,income,employment,edu_ski_tra,health_depri,crime,hous_serv,living_env,cluster_id
1496,0.122,0.05,3.331,-1.205,-0.578,35.798,20.327,2
1497,0.118,0.089,6.751,-0.781,-0.251,39.61,16.007,0
1498,0.061,0.039,1.604,-1.309,-0.322,32.171,19.279,2
1499,0.12,0.064,12.498,-0.922,-0.466,32.259,10.67,2
1500,0.065,0.037,4.41,-1.129,-0.08,29.016,14.814,2
1501,0.151,0.098,12.275,-0.56,-0.6,41.006,22.152,0
1502,0.107,0.067,5.236,-0.535,0.052,35.44,30.573,0
1503,0.056,0.036,4.319,-1.439,-1.061,43.839,12.115,2
1504,0.096,0.058,4.408,-0.74,0.324,35.166,30.322,0
1505,0.229,0.143,30.325,-0.209,0.34,46.269,31.658,1
1506,0.223,0.132,19.312,0.309,0.692,37.736,26.108,1
1507,0.128,0.083,6.261,-0.834,0.451,38.093,32.933,0
1508,0.047,0.037,1.026,-1.452,-0.401,31.108,26.324,2
1509,0.056,0.044,1.031,-1.688,-0.37,27.207,26.9,2
1510,0.054,0.039,1.99,-0.96,-0.528,22.903,21.602,2
1511,0.061,0.04,3.39,-1.378,0.469,32.148,22.529,2
1512,0.083,0.051,3.289,-1.091,0.746,30.925,28.014,2
1513,0.116,0.083,8.327,-0.585,0.545,28.112,32.721,0
1514,0.095,0.046,7.82,-0.892,-0.552,31.419,18.635,2
1515,0.063,0.059,10.366,-1.086,-0.223,29.331,18.826,2
1516,0.102,0.074,8.01,-0.657,0.211,26.142,26.626,2
1517,0.107,0.07,6.234,-0.599,-0.39,27.01,28.22,2
1518,0.063,0.055,6.736,-0.944,-0.429,22.398,26.13,2
1519,0.139,0.082,15.05,-0.743,-0.54,36.019,22.402,0
1520,0.067,0.043,9.873,-1.005,-0.75,29.816,17.56,2
1521,0.068,0.06,5.185,-0.875,-0.669,25.41,17.979,2
1522,0.31,0.192,38.716,0.29,0.812,47.293,17.856,1
1523,0.189,0.117,33.148,-0.005,-0.199,36.364,24.43,1
1524,0.194,0.115,29.038,-0.517,0.672,37.192,29.004,1
1525,0.227,0.113,32.331,-0.639,0.553,46.226,24.814,1
1526,0.3,0.173,39.291,-0.292,0.597,48.599,29.819,1
1527,0.248,0.137,30.595,0.166,0.286,47.382,26.09,1
1528,0.233,0.162,35.935,0.051,1.015,52.633,33.024,1
1529,0.144,0.088,26.602,-0.729,0.461,44.684,34.496,0
1530,0.231,0.156,39.133,-0.107,0.441,51.497,24.54,1
1531,0.287,0.162,45.91,-0.089,1.077,39.914,26.062,1
1532,0.205,0.128,28.448,-0.509,1.195,44.012,32.87,1
1533,0.129,0.075,16.777,-0.783,-0.277,34.911,33.417,0
1534,0.204,0.113,29.58,-0.354,0.445,42.698,26.92,1
1535,0.232,0.124,34.107,-0.177,1.219,44.352,48.817,1
1536,0.236,0.132,29.094,0.051,1.012,53.207,43.71,1
1537,0.2,0.109,29.21,-0.351,1.023,50.102,31.934,1
1538,0.294,0.17,40.126,0.743,-0.073,62.14,35.829,1
1539,0.118,0.065,4.299,-0.726,-0.056,29.754,39.106,0
1540,0.071,0.051,1.389,-0.642,-0.123,27.541,20.985,2
1541,0.119,0.068,4.062,-0.962,-0.053,38.057,23.691,0
